cnpjCpfVencedor;codigo;descricao;numero;participanteVencedor;quantidade;unidadeMedida;valorTotalReferencia;valorTotalVencedor;valorUnitarioReferencia;valorUnitarioVencedor;origem_arquivo
03.354.241/0001-27;10378875;ElaboraÃ§Ã£o de edital e realizaÃ§Ã£o de processo seletivo para;1;FUNDACAO DE APOIO A EDUCACAO, PESQUISA E EXTENSAO;1;SV;26834.67;26834.67;26834.67;26834.67;itensVencedores_02f61e2e-9e00-4d6f-afce-395047b791d5.csv
79.394.102/0001-99;35065;PROTESE TRANSTIBIAL;1;ULLA VESTERGAARD LISBOA & CIA LTDA;1;UNI;10000;10000;10000;10000;itensVencedores_0890b5cc-fafa-4cba-af85-6d094fad4268.csv
28.201.514/0001-24;10379229;CobramÃ§a da taxa de lixo e demais documentos, atravÃ©s de im;1;MEDICAO SERVICOS DE APOIO EIRELI;264000;SV;282480;282480;1.07;1.07;itensVencedores_101ef47d-e9eb-4297-9e02-62c07aae0642.csv
34.028.316/0001-03;10377182;ServiÃ§os de correspondÃªncia;1;EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS;1;SV;80000;80000;80000;80000;itensVencedores_20c8d853-a755-4dd9-b29f-4e7489258c75.csv
83.661.074/0001-04;38728;REALIZAÃÃO DE PROCESSO SELETIVO SIMPLIFICADO.;1;FUNDACAO EDUCACIONAL DE CRICIUMA;1;SER;33121.61;33121.61;33121.61;33121.61;itensVencedores_224b929d-9b12-4251-a41c-6c3c07b8b170.csv
11.402.887/0001-60;10378868;ContrataÃ§Ã£o d empresa para implemetat a robÃ³tica nas escola;1;INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SANTA CATARINA;5;MES;76384;76384;15276.8;15276.8;itensVencedores_26e851be-e535-4200-ad86-0002d9b105d6.csv
23.741.834/0001-53;10378853;Assinaturas impressas periÃ³dica da Revista Nova Escola;1;ASSOCIACAO NOVA ESCOLA;5;MES;6113.88;6113.88;1222.776;1222.776;itensVencedores_2777926c-481d-4bd2-9c93-a409183f405b.csv
31.287.540/0001-21;38338;Projeto arquitetÃ´nico de adaptaÃ§Ã£o, compreendendo planta ba;1;JD ARQUITETURA ESPECIALIZADA EIRELI;1068.58;M2;18165.86;17097.28;17;16;itensVencedores_2b983c27-c325-41de-9553-806b24f78b2b.csv
31.287.540/0001-21;38339;Projeto de Layout de mobiliÃ¡rios e projetos dos mobiliÃ¡rios;2;JD ARQUITETURA ESPECIALIZADA EIRELI;1068.58;M2;13891.54;13891.54;13;13;itensVencedores_2b983c27-c325-41de-9553-806b24f78b2b.csv
07.624.012/0001-36;10377540;ElaboraÃ§Ã£o de levantamento de bens e equipamentos referentes;1;MOTTA MARTINS ENGENHARIA LTDA;1;SV;16000;15500;16000;15500;itensVencedores_3261527b-0748-4885-afb1-2fa0e008dce0.csv
