tipo;descricao;arquivo;origem_arquivo
Contrato;Contrato 6/2020;e4af2ebf-1230-4822-a009-d7e4d63da481;documentosRelacionados_015f43d0-d004-4c13-910f-3fc0074dd7f9.csv
Aditamento;Aditivo 2 - Aditivo de Prazo e Valor (AcrÃ©scimo);c164f3cc-867d-46b6-883c-845d7d6fbea5;documentosRelacionados_03573c06-b083-4f1b-87b4-f464d9787ad2.csv
Aditamento;Aditivo 3 - Aditivo de Prazo e Valor (AcrÃ©scimo);564581c1-eeab-4537-9978-473bcb3db347;documentosRelacionados_03573c06-b083-4f1b-87b4-f464d9787ad2.csv
Aditamento;TA03 - Cont. 266.2020- ProrrogaÃ§Ã£o do prazo de vigÃªncia - ARILDO.docx;e86fdbcc-0fa9-45b7-b3a5-fe690f9b83b4;documentosRelacionados_03573c06-b083-4f1b-87b4-f464d9787ad2.csv
Aditamento;Aditivo 4 - Aditivo de AlteraÃ§Ã£o de outras ClÃ¡u...;d600ce35-f144-46cf-8c7c-4c12a37064df;documentosRelacionados_03573c06-b083-4f1b-87b4-f464d9787ad2.csv
Aditamento;TA04- Cont. 266.PMC.2020 - AlteraÃ§Ã£o Fiscal - ARILDO.docx;cfb79e7d-1652-4e0b-93f2-dca5dc1efd32;documentosRelacionados_03573c06-b083-4f1b-87b4-f464d9787ad2.csv
Aditamento;TA05 - Cont. 266.2020- ProrrogaÃ§Ã£o do prazo de.docx;89f8ad88-2a0a-4de8-9497-4a011fbfdba8;documentosRelacionados_03573c06-b083-4f1b-87b4-f464d9787ad2.csv
Aditamento;TA06 - Cto. 266.PMC.20- AlteraÃ§Ã£o Contratual.docx;03dce2f2-dca0-4115-952e-90ff476a4f1d;documentosRelacionados_03573c06-b083-4f1b-87b4-f464d9787ad2.csv
Aditamento;TA07 - Cont. 266.2020- ProrrogaÃ§Ã£o do prazo de vigencia.docx;c8acd726-0228-42da-890e-5c9a35fb1618;documentosRelacionados_03573c06-b083-4f1b-87b4-f464d9787ad2.csv
Contrato;Contrato 1/2020;af9f500d-f80c-4a89-9d66-b5be04544468;documentosRelacionados_04d48e28-706c-4758-91d3-5ebef545b9c0.csv
Aditamento;Aditivo 1 - Aditivo de Valor (SupressÃ£o);cce0aa86-8c16-413a-b065-d30c831b1932;documentosRelacionados_066db1ea-4bf6-4cdb-af6b-b114974a24c4.csv
Aditamento;Aditivo 2 - Aditivo de Valor (SupressÃ£o);d8a4ebe4-eba5-4c54-81d8-5b2d32a355e1;documentosRelacionados_08572dd2-69d3-4f7a-a606-5311eebec801.csv
Aditamento;Aditivo 3 - Aditivo de Prazo;5efe99e1-f475-4872-a22f-2b881ea8829f;documentosRelacionados_09634592-5902-4ca2-8897-5a01cc4bc9dd.csv
Aditamento;TA03 - Cto. 117.2020 - ProrrogaÃ§Ã£o de VigÃªncia - CLINI.docx;072587eb-64d0-4d72-b1d4-f81aac1f701c;documentosRelacionados_09634592-5902-4ca2-8897-5a01cc4bc9dd.csv
Aditamento;Aditivo 1 - Aditivo de Prazo de ExecuÃ§Ã£o;68d7115c-deeb-41a8-920e-0d4ea204b369;documentosRelacionados_0c35f9b6-5dab-435d-9b3c-bf3c965a0ecd.csv
