numeroLicitacao;dataLicitacao;tipoLicitacao;justificativaDispensaLicitacao;origem_arquivo
13/2019;2019-02-08;Convite p/ Compras e ServiÃ§os; ;licitacao_05dfe62a-7ddb-47fc-95e7-e4e9f4db4261.csv
93/2018;2018-12-17;PregÃ£o Presencial; ;licitacao_06086ac2-deee-4e48-b885-032194a08415.csv
45/2018;2018-07-02;PregÃ£o Presencial; ;licitacao_0632524e-95f8-4252-bd57-225a33e92ed1.csv
30/2016;2016-04-29;PregÃ£o Presencial; ;licitacao_06888ea8-86c5-439d-a650-e12a4eea8d83.csv
146/2019;2019-05-16;PregÃ£o Presencial; ;licitacao_068b53d6-8359-44d8-bd2a-9f0dc72fa1fc.csv
227/2018;2018-09-06;PregÃ£o Presencial; ;licitacao_06c15b87-9d6f-4324-aed4-0d1327696400.csv
71/2019;2019-04-15;PregÃ£o Presencial; ;licitacao_070dce86-692e-43fb-b098-33b0fa24ab5b.csv
131/2019;2019-04-30;Convite p/ Compras e ServiÃ§os; ;licitacao_0728c60e-4502-4192-a4df-726fadaa9243.csv
222/2015;2015-10-06;Dispensa p/ Compras e ServiÃ§os; ;licitacao_072b1c1e-9998-4459-a7e7-2a134c3fcaf9.csv
20/2019;2019-11-01;Dispensa p/ Compras e ServiÃ§os; ;licitacao_075c37c5-3156-4ec6-88cd-d2e0bb3b8f6f.csv
385/2018;2019-01-14;PregÃ£o Presencial; ;licitacao_076f352d-62f7-48e2-b25f-1612dc6d87e9.csv
241/2018;2018-08-13;PregÃ£o Presencial; ;licitacao_079450a9-85e9-48e4-9280-9fff34dad83b.csv
370/2018;2018-12-19;PregÃ£o Presencial; ;licitacao_07a890f1-5d66-45d2-a569-e7b7485bb6a3.csv
186/2017;2017-10-24;PregÃ£o Presencial; ;licitacao_07d6577e-3b00-4f7f-a3ee-ac1347a53ccd.csv
122/2016;2016-05-31;PregÃ£o Presencial; ;licitacao_07fba1c6-99e7-4333-ad01-9a7db722ff8b.csv
106/2019;2019-05-13;PregÃ£o Presencial; ;licitacao_080c5f3b-0280-42a0-9139-70bd23527faf.csv
126/2019;2019-04-26;PregÃ£o Presencial; ;licitacao_081bc761-1423-44f1-b4ff-1b59b5a9f279.csv
215/2019;2019-07-02;PregÃ£o Presencial; ;licitacao_082dd0da-05cf-4ef1-9dd0-a69b232c0803.csv
310/2018;2018-10-24;PregÃ£o Presencial; ;licitacao_083b91a3-643e-4c7b-b0e1-959f18d9eb49.csv
180/2018;2018-07-03;PregÃ£o Presencial; ;licitacao_083eac46-cc6c-42d1-aaf5-63cb5609b8ce.csv
58/2018;2018-03-27;PregÃ£o Presencial; ;licitacao_0842e059-cdab-46c4-a8e7-84f987a30c1d.csv
216/2017;2017-12-19;PregÃ£o Presencial; ;licitacao_085572e4-82c6-4cb0-b425-094a22c8a199.csv
114/2018;2018-05-17;PregÃ£o Presencial; ;licitacao_0869b872-8ca3-4a5b-b709-5d6de4c52d7b.csv
15/2018;2018-07-20;Convite p/ Compras e ServiÃ§os; ;licitacao_086ec380-f13c-4b16-b2f0-c5ff3b782c37.csv
307/2018;2018-10-24;PregÃ£o Presencial; ;licitacao_0897bdca-ce28-4494-9037-e9f0e30ae94b.csv
61/2015;2015-03-16;Dispensa p/ Compras e ServiÃ§os; ;licitacao_08d11b10-9e5a-4b5a-8cc4-1d3310d14118.csv
5/2018;2018-04-09;Outras Modalidades/NÃ£o AplicÃ¡vel; ;licitacao_08f1e67f-221b-41ee-9c00-de9432bcc3fd.csv
81/2018;2018-11-07;PregÃ£o Presencial; ;licitacao_0920c8b7-bd77-4d70-aede-a9c0860e9fe7.csv
220/2018;2018-08-08;PregÃ£o Presencial; ;licitacao_093370db-685c-447d-b1b0-3a3ac089bd2f.csv
50/2018;2018-03-12;PregÃ£o Presencial; ;licitacao_0957aa02-e4f8-4870-a69b-2f8531decbbe.csv
167/2018;2018-06-21;PregÃ£o Presencial; ;licitacao_097f07c4-bba6-4989-a3dd-ed84cff57123.csv
102/2019;2019-04-15;PregÃ£o Presencial; ;licitacao_09b4c8cd-e2aa-484f-a7a6-e7e4bf77855d.csv
111/2018;2018-04-10;PregÃ£o Presencial; ;licitacao_09bcd5ee-d07c-42a1-963f-e19e3e3851fe.csv
42/2019;2019-03-19;Convite p/ Compras e ServiÃ§os; ;licitacao_09ce1c4b-6cd8-466d-9ea0-181fe959cc39.csv
238/2017;2018-02-09;PregÃ£o Presencial; ;licitacao_0a3b0074-ed71-43b7-8d2b-2356b1e7363e.csv
224/2019;2019-08-15;PregÃ£o Presencial; ;licitacao_0a73884b-abc8-4087-bac9-46a0497354e5.csv
148/2012;2012-04-18;Dispensa p/ Compras e ServiÃ§os; ;licitacao_0aa08ef2-9b98-4684-9e6a-757d9eda9a64.csv
62/2019;2019-04-04;Convite p/ Compras e ServiÃ§os; ;licitacao_0af94849-1753-4f71-97a7-4313e9a7e270.csv
14/2019;2019-08-13;PregÃ£o Presencial; ;licitacao_0b17986f-161f-4e04-93d7-a5a99b2fd339.csv
16/2019;2019-03-25;PregÃ£o Presencial; ;licitacao_0b2bb4bf-2410-427f-b168-542c4bf84d20.csv
86/2019;2019-04-17;PregÃ£o Presencial; ;licitacao_0b4cbfaa-6f42-4de6-a13f-1e5f682180d3.csv
123/2019;2019-04-22;PregÃ£o Presencial; ;licitacao_0b905d15-8ba0-4ead-90c8-c47810b1710b.csv
19/2018;2018-08-22;PregÃ£o Presencial; ;licitacao_0b965c46-6b16-4244-ba0a-bd6cc6fa467e.csv
244/2018;2018-10-08;PregÃ£o Presencial; ;licitacao_0bbfcaf2-2051-4820-a1c9-70d843698c04.csv
265/2018;2018-08-31;PregÃ£o Presencial; ;licitacao_0bce9728-b180-45c5-a632-b88af4f52e67.csv
49/2019;2019-06-21;Dispensa p/ Compras e ServiÃ§os; ;licitacao_0bd8530e-9884-4f7f-9bb8-98a4a91a2bfe.csv
369/2018;2018-12-20;Convite p/ Obras e Serv. Eng.; ;licitacao_0c3fdcb9-1dfa-4a1f-af75-d20a1ab9bf1a.csv
78/2019;2019-04-10;PregÃ£o Presencial; ;licitacao_0c7f6845-4f0c-4dd5-a861-87fcf7dee4ad.csv
320/2018;2018-11-07;PregÃ£o Presencial; ;licitacao_0c8d9f6d-574f-4b52-8171-2eaacec50f3c.csv
11/2019;2019-06-06;Inexigibilidade c/ Processo; ;licitacao_0c94ac96-d7df-47f1-95e5-9db2adb45ce1.csv
75/2017;2018-02-26;ConcorrÃªncia p/ Compras e Serv.; ;licitacao_0cefb9d2-57ce-40c0-bad3-53ab9a84f7b5.csv
255/2019;2019-08-13;PregÃ£o Presencial; ;licitacao_0d084752-7df3-4767-8a5e-7f5556e8c525.csv
36/2019;2019-03-14;Convite p/ Compras e ServiÃ§os; ;licitacao_0d59a22c-f124-4174-8f77-4c39edd0355a.csv
222/2019;2019-07-04;PregÃ£o Presencial; ;licitacao_0d61f029-e8db-4941-a989-49372be83c95.csv
52/2019;2019-03-15;PregÃ£o Presencial; ;licitacao_0da7c7d2-9139-4451-929c-633a93a0b80b.csv
319/2018;2018-10-29;PregÃ£o Presencial; ;licitacao_0dbeb6a0-fa1a-4b6b-9eda-bca6864a59ce.csv
189/2019;2019-07-16;PregÃ£o Presencial; ;licitacao_0dbf8bc5-e226-45d7-83ab-d42cb5ecd7ce.csv
222/2018;2018-08-06;PregÃ£o Presencial; ;licitacao_0debb148-83db-4ffe-9dd8-f229a606e509.csv
172/2019;2019-05-29;PregÃ£o Presencial; ;licitacao_0df05e91-4179-4b03-a55c-656590e8e02d.csv
35/2018;2018-10-29;PregÃ£o Presencial; ;licitacao_0e08861c-f916-4562-9a7c-cf72a1f6a505.csv
23/2018;2018-04-10;PregÃ£o Presencial; ;licitacao_0e9e7a9d-f55a-49df-a72c-21356b697d18.csv
6/2019;2019-01-31;Convite p/ Compras e ServiÃ§os; ;licitacao_0edeb70b-d021-469e-9db5-7bc2dabcbbd0.csv
235/2019;2019-09-05;PregÃ£o Presencial; ;licitacao_0ee08511-2614-476c-84a2-3561bcd63c61.csv
144/2019;2019-04-24;Dispensa p/ Compras e ServiÃ§os; ;licitacao_0ee320fb-44f9-4431-aa25-92f387dbd1e8.csv
254/2019;2019-08-13;PregÃ£o Presencial; ;licitacao_0efee25e-c350-4f33-b6cc-ae64d2281271.csv
392/2018;2019-01-11;PregÃ£o Presencial; ;licitacao_0f08988e-3b27-41fe-a50b-6c08444b4bf1.csv
356/2018;2019-01-14;PregÃ£o Presencial; ;licitacao_0f3bf3f0-4ead-41db-84be-0f2d3b89dfa2.csv
19/2019;2019-03-08;Inexigibilidade c/ Processo; ;licitacao_0f4d8bee-a728-4642-ac9c-4dedb470530c.csv
11/2019;2019-01-21;Inexigibilidade c/ Processo; ;licitacao_0f834a9b-3484-4b96-a801-c79efc0c0c04.csv
52/2019;2019-07-29;PregÃ£o Presencial; ;licitacao_0f8f5478-65fc-41b6-9019-e64cb114405b.csv
35/2019;2019-05-28;Convite p/ Compras e ServiÃ§os; ;licitacao_0ff402eb-326d-4980-b7fd-6589b20c81cd.csv
260/2018;2018-08-31;Convite p/ Compras e ServiÃ§os; ;licitacao_0ff8ccbf-22c1-4cf1-ad94-8fed294f192c.csv
134/2018;2018-05-23;Tomada de PreÃ§o p/ Obras e Serv. Eng.; ;licitacao_1029768b-01e2-464f-9a62-d1153431913c.csv
71/2019;2019-11-05;PregÃ£o Presencial; ;licitacao_106cc92f-9b44-48f8-83e8-b368fecbc226.csv
99/2018;2019-04-09;PregÃ£o Presencial; ;licitacao_10885a18-bc2b-4272-bdea-dda670383e1f.csv
218/2015;2015-11-19;ConcorrÃªncia p/ Obras e Serv. Eng.; ;licitacao_10af16b5-a3d5-48e6-b8cb-6326384a3347.csv
46/2017;2017-07-19;PregÃ£o Presencial; ;licitacao_111f192e-5145-4d0b-939d-63eabd574dac.csv
101/2019;2019-04-17;Convite p/ Compras e ServiÃ§os; ;licitacao_11350210-9971-4fcc-b699-a8f6a87bde14.csv
42/2019;2019-07-08;PregÃ£o Presencial; ;licitacao_1154ce01-36be-46ff-a5dd-dd976f6486fe.csv
320/2010;2011-02-01;ConcorrÃªncia p/ Obras e Serv. Eng.; ;licitacao_1155a465-11cd-4b23-aa9b-796a3a569cd6.csv
74/2019;2019-04-09;PregÃ£o Presencial; ;licitacao_115c0498-92c9-4c8d-857c-ad45337e12e6.csv
113/2019;2019-04-25;Convite p/ Compras e ServiÃ§os; ;licitacao_1186b973-5108-4e5a-933e-3a376b3903c4.csv
211/2010;2010-06-25;Dispensa p/ Compras e ServiÃ§os; ;licitacao_11a9b0cd-2a9c-4c7d-9c25-76f9a11ed5e4.csv
103/2019;2019-05-14;PregÃ£o Presencial; ;licitacao_11aa1aa2-4c7e-4ded-ab28-b48ed0bd2637.csv
22/2019;2019-06-25;PregÃ£o Presencial; ;licitacao_11bc3eaf-09d4-4dd4-a958-3870984a1327.csv
72/2019;2019-11-04;PregÃ£o Presencial; ;licitacao_121420a2-70d7-4f97-85f7-9456a981c41e.csv
353/2018;2018-12-11;Convite p/ Compras e ServiÃ§os; ;licitacao_12338b20-51b1-489a-818d-cd306ec40e98.csv
15/2019;2019-10-09;Convite p/ Compras e ServiÃ§os; ;licitacao_12414ff0-c1dd-4c0d-b5c3-5c73b86c434f.csv
325/2018;2018-11-14;Convite p/ Obras e Serv. Eng.; ;licitacao_1260e2cd-3f03-4d39-9822-48a8233c935a.csv
84/2019;2019-04-01;PregÃ£o Presencial; ;licitacao_127af754-83f5-43d6-8c1e-d8c2585452fd.csv
17/2018;2018-08-06;Convite p/ Compras e ServiÃ§os; ;licitacao_12899a15-7e9f-4e4f-bdfc-bc47c0c37678.csv
371/2018;2018-12-19;PregÃ£o Presencial; ;licitacao_128f600f-79b1-4ddd-8d2a-b349c13a5100.csv
362/2019;2019-12-03;PregÃ£o Presencial; ;licitacao_12a56570-3592-4113-a5ad-f7f7e625a19f.csv
77/2018;2018-10-25;Tomada de PreÃ§o p/ Obras e Serv. Eng.; ;licitacao_12ab8710-0a4a-4eaf-be91-ced2fb819f17.csv
344/2019;2019-11-12;PregÃ£o Presencial; ;licitacao_12ebb7f5-dbe0-48ee-9721-5c6249854be6.csv
296/2019;2019-09-26;Convite p/ Compras e ServiÃ§os; ;licitacao_13432ed9-3821-45c8-8836-9a7c8bd7b8b2.csv
11/2018;2018-06-01;Inexigibilidade c/ Processo; ;licitacao_13492d3b-08f0-481d-9b90-488607c06221.csv
16/2017;2017-05-24;PregÃ£o Presencial; ;licitacao_1362bacc-06cc-4932-a5d6-ae3d899eb967.csv
67/2019;2019-04-30;Tomada de PreÃ§o p/ Comp. e Serv.; ;licitacao_136c4ee9-664a-47e4-bea3-410197d18b1c.csv
287/2019;2019-09-10;PregÃ£o Presencial; ;licitacao_13796e46-c538-4daf-9803-4ff80bf02f77.csv
190/2019;2019-06-10;PregÃ£o Presencial; ;licitacao_1379704d-ecf0-46d3-84ea-96199c571993.csv
301/2019;2019-09-30;PregÃ£o Presencial; ;licitacao_13c71a59-c5ee-41f6-85ac-e0abc7ccf74a.csv
164/2019;2019-05-28;Convite p/ Compras e ServiÃ§os; ;licitacao_13f8b6e9-1830-4743-93b3-1d5a04344801.csv
188/2017;2017-11-27;PregÃ£o Presencial; ;licitacao_14201854-7f0e-4a5a-aa5d-48015f06319a.csv
108/2018;2018-03-14;Inexigibilidade c/ Processo; ;licitacao_1435ef11-2d8a-4ae7-8380-5fdfe5748aed.csv
34/2019;2019-05-20;PregÃ£o Presencial; ;licitacao_1442c21d-aaaa-4114-9e23-8b1bbbd4695a.csv
8/2019;2019-06-06;Convite p/ Compras e ServiÃ§os; ;licitacao_14666df7-fb1a-49a9-95dd-5e74070578a6.csv
18/2015;2015-12-01;Dispensa p/ Compras e ServiÃ§os; ;licitacao_14aedb25-467c-423f-863b-a5bd1fb5a386.csv
312/2018;2018-10-24;Convite p/ Obras e Serv. Eng.; ;licitacao_151fdee5-9bed-408d-b36a-393de0deabd1.csv
334/2018;2018-11-14;PregÃ£o Presencial; ;licitacao_15a410f5-276a-43ce-baa6-ef802285c6c0.csv
40/2019;2019-08-20;PregÃ£o Presencial; ;licitacao_160eb8c5-93cf-4e81-8624-92a010f01a09.csv
379/2018;2018-12-12;Inexigibilidade c/ Processo; ;licitacao_164c2e7d-dff5-4935-ba14-763d73f10cc7.csv
172/2018;2018-07-12;PregÃ£o Presencial; ;licitacao_166bbc05-fc36-4523-9d25-73dfc37097a8.csv
169/2019;2019-06-14;PregÃ£o Presencial; ;licitacao_167260d8-a9ab-4e4b-a81f-823abf2631ce.csv
13/2019;2019-07-16;PregÃ£o Presencial; ;licitacao_16aabe22-4d11-48da-a811-f50372e9fcd9.csv
89/2014;2015-01-28;PregÃ£o Presencial; ;licitacao_16bbddac-590f-4120-a659-b66566f3f416.csv
298/2018;2018-10-01;Dispensa p/ Compras e ServiÃ§os; ;licitacao_16dc1735-d74d-42f2-9308-66006b715064.csv
21/2018;2018-08-16;PregÃ£o Presencial; ;licitacao_171a286e-a7b5-41ca-9298-cb694d1967fd.csv
245/2019;2019-08-06;PregÃ£o Presencial; ;licitacao_176a103f-93a9-4ad2-9363-75f34d6943c7.csv
1/2019;2019-02-15;Tomada de PreÃ§o p/ Obras e Serv. Eng.; ;licitacao_1780eb32-5468-4eda-b2e7-f0ff385fefd4.csv
192/2016;2016-10-27;PregÃ£o Presencial; ;licitacao_17c8434f-78ca-4f9c-9648-f8742fac42c6.csv
99/2018;2019-01-23;PregÃ£o Presencial; ;licitacao_17cc5395-5c48-44b1-ad83-168cf25f42e8.csv
87/2018;2018-11-27;PregÃ£o Presencial; ;licitacao_18718702-293b-44ab-bff8-62609b039975.csv
211/2019;2019-08-12;Tomada de PreÃ§o p/ Obras e Serv. Eng.; ;licitacao_1874ef40-5ad1-4453-992f-9a6b3d2a721a.csv
65/2019;2019-10-22;PregÃ£o Presencial; ;licitacao_18976087-1292-4b51-a216-1241dbad065a.csv
331/2019;2019-11-04;Convite p/ Compras e ServiÃ§os; ;licitacao_18b8b59d-74e0-4413-b3d3-f0319171c388.csv
148/2018;2018-05-04;PregÃ£o Presencial; ;licitacao_18f84473-1ba3-4806-956a-f86a8e7a176d.csv
15/2019;2019-04-03;Convite p/ Compras e ServiÃ§os; ;licitacao_1934c382-0985-4c45-8932-10f5c29ad5ec.csv
7/2015;2015-03-11;Convite p/ Compras e ServiÃ§os; ;licitacao_195a6036-d701-422f-b9b5-1747edcebd2b.csv
46/2018;2018-03-07;PregÃ£o Presencial; ;licitacao_19730603-65ff-46ae-bc63-03ecd61688c1.csv
277/2019;2019-10-30;PregÃ£o Presencial; ;licitacao_19872439-bffa-422a-ba4e-af94bf1ab51d.csv
61/2018;2018-04-06;PregÃ£o Presencial; ;licitacao_19c88697-e106-4484-b50a-db904454c3ee.csv
202/2019;2019-07-09;Tomada de PreÃ§o p/ Obras e Serv. Eng.; ;licitacao_19fd5cb6-273e-4eba-acb1-14f1c6f243e5.csv
13/2019;2019-03-19;PregÃ£o Presencial; ;licitacao_1a04430e-3ebd-4043-8f16-e034c3f2e518.csv
73/2018;2019-01-23;PregÃ£o Presencial; ;licitacao_1a36c5c5-9744-4e4c-bbb8-21aae98a2e81.csv
403/2019;2019-12-30;PregÃ£o Presencial; ;licitacao_1a474064-f586-45e7-b453-1da205a64ad6.csv
278/2019;2019-09-27;PregÃ£o Presencial; ;licitacao_1a91f076-195e-4755-a06d-1b452955a468.csv
358/2019;2019-11-28;PregÃ£o Presencial; ;licitacao_1aad854c-997c-4940-a174-2ebd54ce1b6d.csv
88/2018;2018-03-28;PregÃ£o Presencial; ;licitacao_1ab2f83b-c8a7-46fc-9b4d-335467e4a98a.csv
226/2019;2019-07-11;PregÃ£o Presencial; ;licitacao_1acf6a68-7ceb-418f-b82b-ed66714abec3.csv
14/2019;2019-04-05;PregÃ£o Presencial; ;licitacao_1aecb4ca-c692-4c51-8b02-b2d4dc9b920c.csv
10/2018;2018-04-06;Tomada de PreÃ§o p/ Comp. e Serv.; ;licitacao_1b538930-922f-40ca-9bbc-caf8eb9ea784.csv
